# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.001         	1.743474e+02	6.839523e+01	5.733672e-01	-3.516663e-01	-2.289725e+00	2.072009e+02	8.682204e+01	8.752537e+01	2.413985e+02	-1.730033e+02	-2.003042e+00	2.576409e+00
0.002         	1.748772e+02	7.355690e+01	5.836377e-01	-4.172147e-01	-2.134635e+00	2.129420e+02	8.702140e+01	8.785583e+01	2.497205e+02	-1.761636e+02	-1.842816e+00	2.426454e+00
0.003         	6.561358e+01	3.721248e+01	3.193882e-01	-2.629889e-01	-8.028179e-01	9.252626e+01	3.254380e+01	3.306978e+01	1.111325e+02	-7.392002e+01	-6.431238e-01	9.625120e-01
0.004         	-5.506502e+01	-6.310994e+00	-7.015975e-03	-3.221606e-02	6.177545e-01	-4.350625e+01	-2.756472e+01	-2.750029e+01	-4.666175e+01	4.035075e+01	6.142465e-01	-6.212625e-01
0.005         	-1.049507e+02	-2.836812e+01	-2.390718e-01	1.467476e-01	1.235597e+00	-1.057152e+02	-5.232862e+01	-5.262211e+01	-1.198993e+02	9.153114e+01	1.116062e+00	-1.355133e+00
0.006         	-7.732353e+01	-2.242835e+01	-2.585008e-01	1.777440e-01	9.288964e-01	-8.003473e+01	-3.848402e+01	-3.883951e+01	-9.124891e+01	6.882056e+01	7.996460e-01	-1.058147e+00
0.007         	-1.339730e+01	-8.016845e-01	-1.222190e-01	9.247477e-02	1.916472e-01	-9.348340e+00	-6.606176e+00	-6.791125e+00	-9.749182e+00	8.947497e+00	1.305378e-01	-2.527567e-01
0.008         	3.806853e+01	1.883734e+01	3.332143e-02	-1.763101e-02	-3.930388e-01	5.065080e+01	1.901663e+01	1.905190e+01	6.006947e+01	-4.123213e+01	-3.763780e-01	4.096995e-01
0.009         	5.128131e+01	2.545482e+01	1.102027e-01	-7.728089e-02	-5.341130e-01	6.791281e+01	2.556338e+01	2.571794e+01	8.064022e+01	-5.518540e+01	-4.790117e-01	5.892144e-01
0.01          	3.130849e+01	1.924826e+01	8.739493e-02	-6.675063e-02	-2.979199e-01	4.592016e+01	1.558749e+01	1.572099e+01	5.554429e+01	-3.629603e+01	-2.542224e-01	3.416173e-01
0.011         	2.983497e-01	7.936942e+00	1.508965e-02	-1.806331e-02	4.641752e-02	9.965898e+00	1.311116e-01	1.672382e-01	1.393437e+01	-5.997427e+00	5.396235e-02	-3.887270e-02
0.012         	-2.027909e+01	-2.189820e-01	-4.814699e-02	2.727459e-02	2.611478e-01	-1.446877e+01	-1.011227e+01	-1.016682e+01	-1.457826e+01	1.435928e+01	2.370743e-01	-2.852213e-01
0.013         	-2.183185e+01	-1.399495e+00	-6.531688e-02	4.133425e-02	2.566105e-01	-1.662919e+01	-1.087459e+01	-1.095726e+01	-1.732893e+01	1.592944e+01	2.239520e-01	-2.892689e-01
0.014         	-9.585190e+00	2.915263e+00	-3.933827e-02	2.458214e-02	1.027237e-01	-2.221901e+00	-4.768013e+00	-4.817177e+00	-7.642698e-01	3.679533e+00	8.305452e-02	-1.223928e-01
0.015         	4.949347e+00	8.464993e+00	1.121781e-03	-3.249421e-03	-6.387287e-02	1.509047e+01	2.471424e+00	2.477923e+00	1.932297e+01	-1.085798e+01	-6.331198e-02	6.443376e-02
0.016         	1.257253e+01	1.157489e+01	2.615958e-02	-2.131535e-02	-1.399020e-01	2.416775e+01	6.264950e+00	6.307580e+00	2.995520e+01	-1.838031e+01	-1.268223e-01	1.529818e-01
0.017         	1.104646e+01	1.115334e+01	2.538086e-02	-2.161567e-02	-1.040704e-01	2.219952e+01	5.501613e+00	5.544845e+00	2.777619e+01	-1.662285e+01	-9.138002e-02	1.167609e-01
