# y+ ()       
# Time        	patch         	min           	max           	average       
0.1           	bottom	1.327517e+02	8.353698e+03	4.889497e+02
0.1           	Geometry	1.419272e+00	3.350305e+03	4.618047e+02
0.2           	bottom	8.982758e+01	8.353698e+03	4.512310e+02
0.2           	Geometry	4.134685e-01	3.272356e+03	4.364318e+02
0.3           	bottom	7.345287e+01	8.353698e+03	4.561841e+02
0.3           	Geometry	9.972569e-01	3.240276e+03	4.230836e+02
0.4           	bottom	7.352859e+01	8.353698e+03	4.648405e+02
0.4           	Geometry	6.408461e-01	3.323609e+03	4.119280e+02
0.5           	bottom	7.365902e+01	8.353698e+03	4.771554e+02
0.5           	Geometry	9.667154e-01	3.360979e+03	4.063143e+02
0.6           	bottom	7.366190e+01	8.353698e+03	4.910713e+02
0.6           	Geometry	7.334468e-01	3.346637e+03	3.992083e+02
0.7           	bottom	7.374345e+01	8.353698e+03	4.979516e+02
0.7           	Geometry	5.380109e-01	3.338332e+03	3.967691e+02
0.8           	bottom	7.373226e+01	8.353698e+03	5.010839e+02
0.8           	Geometry	8.393729e-01	3.330961e+03	3.909433e+02
0.9           	bottom	7.374165e+01	8.353698e+03	5.037551e+02
0.9           	Geometry	7.034487e-01	3.334258e+03	3.818546e+02
1             	bottom	7.381059e+01	8.353698e+03	5.075985e+02
1             	Geometry	3.242856e-01	3.331648e+03	3.781766e+02
