# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 3.000000e+01
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.001         	1.655676e+02	6.331704e+01	8.949078e-04	-3.657472e-04	-1.988369e-03	2.423716e+02	8.278343e+01	8.278416e+01	2.740301e+02	-2.107131e+02	-1.540915e-03	2.435823e-03
0.002         	1.694440e+02	6.843146e+01	1.094824e-03	-5.454940e-04	-2.582880e-03	2.510365e+02	8.472146e+01	8.472255e+01	2.852523e+02	-2.168208e+02	-2.035468e-03	3.130292e-03
0.003         	6.909217e+01	3.507500e+01	5.974879e-04	-2.431810e-04	-1.415058e-03	1.106854e+02	3.454584e+01	3.454633e+01	1.282229e+02	-9.314792e+01	-1.116314e-03	1.713802e-03
0.004         	-4.497165e+01	-4.788373e+00	-1.411945e-04	2.228903e-04	3.711482e-04	-4.901903e+01	-2.248560e+01	-2.248605e+01	-5.141322e+01	4.662484e+01	3.005510e-04	-4.417455e-04
0.005         	-9.651262e+01	-2.513905e+01	-5.421168e-04	3.868621e-04	1.353759e-03	-1.244617e+02	-4.825592e+01	-4.825670e+01	-1.370312e+02	1.118922e+02	1.082700e-03	-1.624817e-03
0.006         	-7.451745e+01	-1.991767e+01	-5.063064e-04	3.077366e-04	1.242695e-03	-9.651603e+01	-3.725842e+01	-3.725903e+01	-1.064749e+02	8.655720e+01	9.895414e-04	-1.495848e-03
0.007         	-1.590118e+01	-1.895991e-01	-1.750083e-04	1.014519e-04	4.021544e-04	-1.427194e+01	-7.950490e+00	-7.950693e+00	-1.436674e+01	1.417714e+01	3.146502e-04	-4.896585e-04
0.008         	3.353592e+01	1.787967e+01	1.623496e-04	-1.072329e-04	-4.029003e-04	5.680019e+01	1.676785e+01	1.676807e+01	6.574003e+01	-4.786036e+01	-3.217255e-04	4.840751e-04
0.009         	4.793553e+01	2.409801e+01	3.001587e-04	-1.735902e-04	-7.828124e-04	7.811546e+01	2.396759e+01	2.396794e+01	9.016446e+01	-6.606646e+01	-6.327330e-04	9.328917e-04
0.01          	3.036837e+01	1.848886e+01	2.226732e-04	-1.209263e-04	-6.016951e-04	5.278164e+01	1.518406e+01	1.518430e+01	6.202607e+01	-4.353721e+01	-4.903585e-04	7.130316e-04
0.011         	1.375229e+00	8.089288e+00	3.483124e-05	-1.491216e-05	-1.205472e-04	1.043733e+01	6.875994e-01	6.876292e-01	1.448198e+01	-6.392688e+00	-1.031316e-04	1.379628e-04
0.012         	-1.852123e+01	5.270998e-01	-1.167444e-04	7.468390e-05	2.779346e-04	-1.861954e+01	-9.260540e+00	-9.260689e+00	-1.835599e+01	1.888309e+01	2.195624e-04	-3.363068e-04
0.013         	-2.065063e+01	-6.138082e-01	-1.521095e-04	9.754288e-05	3.808750e-04	-2.141923e+01	-1.032522e+01	-1.032541e+01	-2.172614e+01	2.111233e+01	3.048202e-04	-4.569297e-04
0.014         	-9.460830e+00	3.335425e+00	-8.636665e-05	5.821532e-05	2.135616e-04	-4.516375e+00	-4.730357e+00	-4.730473e+00	-2.848663e+00	6.184088e+00	1.703782e-04	-2.567449e-04
0.015         	4.276533e+00	8.460708e+00	1.322513e-05	-7.882051e-06	-4.330079e-05	1.596916e+01	2.138258e+00	2.138274e+00	2.019952e+01	-1.173881e+01	-3.668822e-05	4.991336e-05
0.016         	1.170023e+01	1.136198e+01	7.709625e-05	-5.230299e-05	-2.170277e-04	2.677033e+01	5.850064e+00	5.850168e+00	3.245132e+01	-2.108934e+01	-1.784796e-04	2.555758e-04
0.017         	1.044986e+01	1.101073e+01	7.499855e-05	-5.581424e-05	-2.181268e-04	2.448400e+01	5.224872e+00	5.224984e+00	2.998937e+01	-1.897863e+01	-1.806275e-04	2.556261e-04
0.018         	3.994289e+00	8.629391e+00	2.641030e-05	-2.826379e-05	-9.583781e-05	1.452904e+01	1.997116e+00	1.997173e+00	1.884374e+01	-1.021435e+01	-8.263266e-05	1.090430e-04
0.019         	-2.249453e+00	6.255042e+00	-2.648083e-05	6.407985e-06	4.211495e-05	5.164684e+00	-1.124720e+00	-1.124733e+00	8.292205e+00	-2.037162e+00	2.887454e-05	-5.535536e-05
0.02          	-4.694278e+00	5.287767e+00	-4.940597e-05	2.388572e-05	1.057964e-04	1.738611e+00	-2.347115e+00	-2.347163e+00	4.382494e+00	9.052728e-01	8.109344e-05	-1.304994e-04
0.021         	-3.108866e+00	5.861093e+00	-3.760240e-05	1.923101e-05	7.982871e-05	4.430223e+00	-1.554414e+00	-1.554452e+00	7.360770e+00	-1.499677e+00	6.102751e-05	-9.862991e-05
0.022         	3.032535e-01	7.157281e+00	-7.864301e-06	6.268414e-07	5.135183e-06	9.743015e+00	1.516274e-01	1.516261e-01	1.332166e+01	-6.164374e+00	1.203033e-06	-9.067334e-06
0.023         	2.959658e+00	8.185231e+00	1.727094e-05	-1.682013e-05	-5.918463e-05	1.370960e+01	1.479812e+00	1.479846e+00	1.780221e+01	-9.616981e+00	-5.054916e-05	6.782010e-05
0.024         	3.532150e+00	8.418955e+00	2.331223e-05	-2.264496e-05	-7.631549e-05	1.438685e+01	1.766052e+00	1.766097e+00	1.859633e+01	-1.017737e+01	-6.465938e-05	8.797161e-05
0.025         	2.333547e+00	7.964393e+00	1.196129e-05	-1.670869e-05	-4.870266e-05	1.238098e+01	1.166757e+00	1.166790e+00	1.636317e+01	-8.398780e+00	-4.272202e-05	5.468331e-05
0.026         	6.194826e-01	7.301622e+00	-4.724715e-06	-5.984638e-06	-5.999592e-06	9.702120e+00	3.097353e-01	3.097473e-01	1.335293e+01	-6.051309e+00	-8.361950e-06	3.637235e-06
0.027         	-4.446331e-01	6.884524e+00	-1.484627e-05	1.546539e-06	2.196494e-05	8.137845e+00	-2.223150e-01	-2.223181e-01	1.158011e+01	-4.695583e+00	1.454181e-05	-2.938808e-05
0.028         	-4.400903e-01	6.881380e+00	-1.337159e-05	2.305676e-06	2.218459e-05	8.264382e+00	-2.200428e-01	-2.200474e-01	1.170507e+01	-4.823692e+00	1.549879e-05	-2.887038e-05
0.029         	2.924622e-01	7.163362e+00	-3.437184e-06	-2.598293e-06	2.045287e-06	9.477409e+00	1.462285e-01	1.462337e-01	1.305909e+01	-5.895728e+00	3.266947e-07	-3.763878e-06
0.03          	1.090970e+00	7.472735e+00	7.500268e-06	-8.989374e-06	-2.048476e-05	1.071486e+01	5.454758e-01	5.454938e-01	1.445123e+01	-6.978491e+00	-1.673463e-05	2.423490e-05
0.031         	1.461876e+00	7.615016e+00	1.343841e-05	-1.287543e-05	-3.095927e-05	1.122758e+01	7.309249e-01	7.309507e-01	1.503508e+01	-7.420069e+00	-2.424006e-05	3.767847e-05
0.032         	1.317989e+00	7.554693e+00	1.303592e-05	-1.314995e-05	-2.617917e-05	1.092781e+01	6.589813e-01	6.590076e-01	1.470516e+01	-7.150464e+00	-1.966121e-05	3.269713e-05
0.033         	9.027606e-01	7.386941e+00	8.947142e-06	-1.111254e-05	-1.302292e-05	1.023715e+01	4.513692e-01	4.513914e-01	1.393062e+01	-6.543681e+00	-8.549349e-06	1.749649e-05
0.034         	5.435417e-01	7.240965e+00	5.339128e-06	-9.035657e-06	-1.665526e-06	9.679735e+00	2.717618e-01	2.717799e-01	1.330022e+01	-6.059253e+00	1.004038e-06	4.335089e-06
0.035         	4.326507e-01	7.193249e+00	5.236416e-06	-8.810520e-06	1.055134e-06	9.539753e+00	2.163166e-01	2.163342e-01	1.313638e+01	-5.943129e+00	3.673343e-06	1.563074e-06
0.036         	5.561189e-01	7.238608e+00	8.647100e-06	-1.074508e-05	-4.689800e-06	9.766431e+00	2.780487e-01	2.780702e-01	1.338574e+01	-6.147127e+00	-3.662497e-07	9.013350e-06
0.037         	7.663490e-01	7.318412e+00	1.340398e-05	-1.379407e-05	-1.366938e-05	1.010694e+01	3.831607e-01	3.831883e-01	1.376615e+01	-6.447735e+00	-6.967390e-06	2.037137e-05
0.038         	9.107881e-01	7.371884e+00	1.737607e-05	-1.650214e-05	-2.066803e-05	1.031903e+01	4.553776e-01	4.554106e-01	1.400497e+01	-6.633084e+00	-1.198000e-05	2.935607e-05
0.039         	9.234240e-01	7.372752e+00	1.953697e-05	-1.788556e-05	-2.342235e-05	1.031162e+01	4.616941e-01	4.617299e-01	1.399800e+01	-6.625245e+00	-1.365386e-05	3.319083e-05
0.04          	8.367050e-01	7.334200e+00	2.004047e-05	-1.773336e-05	-2.293143e-05	1.015243e+01	4.183348e-01	4.183702e-01	1.381953e+01	-6.485335e+00	-1.291119e-05	3.295166e-05
0.041         	7.317085e-01	7.288773e+00	1.986272e-05	-1.691269e-05	-2.186029e-05	9.978898e+00	3.658373e-01	3.658712e-01	1.362328e+01	-6.334511e+00	-1.192893e-05	3.179165e-05
0.042         	6.751251e-01	7.263237e+00	2.021926e-05	-1.650276e-05	-2.299899e-05	9.895094e+00	3.375460e-01	3.375790e-01	1.352671e+01	-6.263475e+00	-1.288936e-05	3.310862e-05
0.043         	6.843563e-01	7.264547e+00	2.155164e-05	-1.693705e-05	-2.682113e-05	9.920043e+00	3.421612e-01	3.421951e-01	1.355232e+01	-6.287769e+00	-1.604531e-05	3.759695e-05
0.044         	7.325724e-01	7.281904e+00	2.346167e-05	-1.807211e-05	-3.205216e-05	1.000258e+01	3.662681e-01	3.663043e-01	1.364354e+01	-6.361633e+00	-2.032133e-05	4.378300e-05
0.045         	7.783133e-01	7.298523e+00	2.522560e-05	-1.916768e-05	-3.665375e-05	1.007309e+01	3.891375e-01	3.891758e-01	1.372235e+01	-6.423826e+00	-2.404095e-05	4.926655e-05
0.046         	7.945474e-01	7.303314e+00	2.616478e-05	-1.966587e-05	-3.916201e-05	1.009045e+01	3.972540e-01	3.972934e-01	1.374211e+01	-6.438794e+00	-2.607962e-05	5.224440e-05
0.047         	7.801392e-01	7.295808e+00	2.610729e-05	-1.969553e-05	-3.953472e-05	1.005806e+01	3.900499e-01	3.900893e-01	1.370596e+01	-6.410156e+00	-2.648108e-05	5.258837e-05
0.048         	7.524825e-01	7.283118e+00	2.537905e-05	-1.955899e-05	-3.860854e-05	1.000802e+01	3.762217e-01	3.762608e-01	1.364958e+01	-6.366460e+00	-2.591902e-05	5.129807e-05
0.049         	7.314382e-01	7.273302e+00	2.431140e-05	-1.948474e-05	-3.721250e-05	9.973158e+00	3.656996e-01	3.657386e-01	1.360981e+01	-6.336507e+00	-2.505680e-05	4.936820e-05
0.05          	7.268281e-01	7.270262e+00	2.325742e-05	-1.963269e-05	-3.617546e-05	9.967287e+00	3.633944e-01	3.634337e-01	1.360242e+01	-6.332156e+00	-2.454675e-05	4.780417e-05
0.051         	7.357380e-01	7.272742e+00	2.234842e-05	-1.984700e-05	-3.573054e-05	9.982806e+00	3.678491e-01	3.678888e-01	1.361918e+01	-6.346435e+00	-2.455633e-05	4.690475e-05
0.052         	7.481685e-01	7.276691e+00	2.150814e-05	-2.005857e-05	-3.553882e-05	1.000182e+01	3.740642e-01	3.741043e-01	1.364016e+01	-6.363472e+00	-2.478475e-05	4.629289e-05
0.053         	7.551440e-01	7.278454e+00	2.057364e-05	-2.018198e-05	-3.507268e-05	1.000979e+01	3.775518e-01	3.775922e-01	1.364902e+01	-6.370562e+00	-2.478586e-05	4.535950e-05
0.054         	7.537204e-01	7.276810e+00	1.955353e-05	-2.007634e-05	-3.415136e-05	1.000323e+01	3.768401e-01	3.768803e-01	1.364163e+01	-6.364824e+00	-2.437460e-05	4.392813e-05
0.055         	7.468643e-01	7.272964e+00	1.833335e-05	-1.969793e-05	-3.282299e-05	9.988480e+00	3.734124e-01	3.734518e-01	1.362496e+01	-6.351998e+00	-2.365632e-05	4.198966e-05
0.056         	7.398278e-01	7.268945e+00	1.700055e-05	-1.915632e-05	-3.145978e-05	9.974713e+00	3.698947e-01	3.699330e-01	1.360919e+01	-6.340241e+00	-2.295950e-05	3.996005e-05
0.057         	7.363532e-01	7.266311e+00	1.565314e-05	-1.856148e-05	-3.025711e-05	9.967770e+00	3.681581e-01	3.681952e-01	1.360093e+01	-6.334615e+00	-2.243054e-05	3.808368e-05
0.058         	7.369084e-01	7.265315e+00	1.436887e-05	-1.805221e-05	-2.924811e-05	9.967628e+00	3.684361e-01	3.684722e-01	1.360029e+01	-6.334971e+00	-2.206367e-05	3.643254e-05
0.059         	7.394304e-01	7.265126e+00	1.321446e-05	-1.766382e-05	-2.846656e-05	9.970127e+00	3.696975e-01	3.697329e-01	1.360269e+01	-6.337564e+00	-2.185933e-05	3.507379e-05
0.06          	7.413173e-01	7.264668e+00	1.204779e-05	-1.731212e-05	-2.754750e-05	9.970721e+00	3.706413e-01	3.706760e-01	1.360306e+01	-6.338387e+00	-2.152360e-05	3.357139e-05
0.061         	7.411465e-01	7.263264e+00	1.090548e-05	-1.680825e-05	-2.663489e-05	9.967374e+00	3.705565e-01	3.705901e-01	1.359901e+01	-6.335742e+00	-2.118215e-05	3.208763e-05
0.062         	7.391578e-01	7.261033e+00	9.757447e-06	-1.616468e-05	-2.566833e-05	9.961024e+00	3.695628e-01	3.695951e-01	1.359154e+01	-6.330507e+00	-2.078960e-05	3.054705e-05
0.063         	7.365783e-01	7.258557e+00	8.643633e-06	-1.543765e-05	-2.472702e-05	9.954100e+00	3.682737e-01	3.683046e-01	1.358338e+01	-6.324821e+00	-2.040520e-05	2.904884e-05
0.064         	7.346107e-01	7.256375e+00	7.544420e-06	-1.469259e-05	-2.380967e-05	9.948606e+00	3.672907e-01	3.673201e-01	1.357679e+01	-6.320418e+00	-2.003746e-05	2.758188e-05
0.065         	7.337074e-01	7.254621e+00	6.518151e-06	-1.379297e-05	-2.297423e-05	9.944894e+00	3.668399e-01	3.668675e-01	1.357220e+01	-6.317583e+00	-1.971515e-05	2.623330e-05
0.066         	7.335548e-01	7.253095e+00	5.643825e-06	-1.288341e-05	-2.221310e-05	9.942227e+00	3.667645e-01	3.667903e-01	1.356877e+01	-6.315679e+00	-1.939118e-05	2.503501e-05
0.067         	7.334926e-01	7.251501e+00	4.913398e-06	-1.186124e-05	-2.155224e-05	9.939367e+00	3.667345e-01	3.667582e-01	1.356512e+01	-6.313617e+00	-1.909554e-05	2.400894e-05
0.068         	7.330135e-01	7.249671e+00	4.286778e-06	-1.098678e-05	-2.096315e-05	9.935609e+00	3.664957e-01	3.665177e-01	1.356044e+01	-6.310774e+00	-1.881976e-05	2.310654e-05
0.069         	7.319943e-01	7.247624e+00	3.763141e-06	-1.010542e-05	-2.044732e-05	9.930919e+00	3.659870e-01	3.660072e-01	1.355473e+01	-6.307107e+00	-1.856575e-05	2.232889e-05
0.07          	7.306645e-01	7.245520e+00	3.250242e-06	-9.219551e-06	-1.978857e-05	9.925840e+00	3.653230e-01	3.653415e-01	1.354860e+01	-6.303080e+00	-1.816345e-05	2.141369e-05
0.071         	7.293656e-01	7.243480e+00	2.811821e-06	-8.337900e-06	-1.908303e-05	9.920978e+00	3.646745e-01	3.646912e-01	1.354272e+01	-6.299238e+00	-1.767712e-05	2.048894e-05
0.072         	7.283089e-01	7.241574e+00	2.424589e-06	-7.471987e-06	-1.818857e-05	9.916695e+00	3.641470e-01	3.641619e-01	1.353748e+01	-6.295908e+00	-1.697627e-05	1.940086e-05
0.073         	7.274972e-01	7.239743e+00	2.121790e-06	-6.739709e-06	-1.721858e-05	9.912865e+00	3.637419e-01	3.637554e-01	1.353274e+01	-6.292994e+00	-1.615768e-05	1.827947e-05
0.074         	7.267830e-01	7.237962e+00	1.922194e-06	-5.961559e-06	-1.626568e-05	9.909234e+00	3.633856e-01	3.633975e-01	1.352821e+01	-6.290253e+00	-1.530458e-05	1.722678e-05
0.075         	7.260100e-01	7.236161e+00	1.748442e-06	-5.119877e-06	-1.534381e-05	9.905466e+00	3.629999e-01	3.630101e-01	1.352355e+01	-6.287386e+00	-1.446959e-05	1.621803e-05
0.076         	7.250972e-01	7.234258e+00	1.692075e-06	-4.057104e-06	-1.452309e-05	9.901318e+00	3.625445e-01	3.625527e-01	1.351845e+01	-6.284189e+00	-1.367705e-05	1.536912e-05
0.077         	7.240614e-01	7.232216e+00	1.853872e-06	-3.062125e-06	-1.376472e-05	9.896858e+00	3.620277e-01	3.620338e-01	1.351297e+01	-6.280749e+00	-1.283778e-05	1.469165e-05
0.078         	7.229821e-01	7.230088e+00	2.187474e-06	-2.091643e-06	-1.291250e-05	9.892362e+00	3.614889e-01	3.614931e-01	1.350741e+01	-6.277318e+00	-1.181876e-05	1.400624e-05
0.079         	7.219478e-01	7.227998e+00	2.584931e-06	-1.063997e-06	-1.177402e-05	9.888118e+00	3.609728e-01	3.609749e-01	1.350212e+01	-6.274119e+00	-1.048155e-05	1.306649e-05
0.08          	7.209997e-01	7.226017e+00	3.032821e-06	-3.193088e-08	-1.045740e-05	9.884224e+00	3.604998e-01	3.604999e-01	1.349723e+01	-6.271215e+00	-8.940985e-06	1.197381e-05
0.081         	7.201013e-01	7.224086e+00	3.549061e-06	1.089456e-06	-9.034339e-06	9.880449e+00	3.600518e-01	3.600496e-01	1.349249e+01	-6.268406e+00	-7.259808e-06	1.080887e-05
0.082         	7.192008e-01	7.222128e+00	4.212400e-06	2.087912e-06	-7.646045e-06	9.876749e+00	3.596025e-01	3.595983e-01	1.348781e+01	-6.265685e+00	-5.539845e-06	9.752244e-06
0.083         	7.182717e-01	7.220124e+00	5.096218e-06	3.194818e-06	-6.282812e-06	9.873080e+00	3.591390e-01	3.591326e-01	1.348314e+01	-6.263018e+00	-3.734703e-06	8.830921e-06
0.084         	7.173087e-01	7.218094e+00	6.127702e-06	4.462528e-06	-4.921936e-06	9.869404e+00	3.586588e-01	3.586499e-01	1.347845e+01	-6.260357e+00	-1.858085e-06	7.985787e-06
0.085         	7.163289e-01	7.216058e+00	7.162566e-06	5.773550e-06	-3.460835e-06	9.865716e+00	3.581702e-01	3.581587e-01	1.347375e+01	-6.257687e+00	1.204480e-07	7.042118e-06
0.086         	7.153498e-01	7.213988e+00	8.099943e-06	6.863635e-06	-1.889246e-06	9.862000e+00	3.576818e-01	3.576681e-01	1.346899e+01	-6.255006e+00	2.160725e-06	5.939218e-06
0.087         	7.143875e-01	7.211927e+00	8.891215e-06	7.819563e-06	-1.398274e-07	9.858359e+00	3.572015e-01	3.571859e-01	1.346432e+01	-6.252395e+00	4.305780e-06	4.585435e-06
0.088         	7.134454e-01	7.209927e+00	9.506546e-06	8.679929e-06	1.647935e-06	9.854906e+00	3.567314e-01	3.567140e-01	1.345987e+01	-6.249943e+00	6.401208e-06	3.105338e-06
0.089         	7.125217e-01	7.208010e+00	9.925625e-06	9.513625e-06	3.443435e-06	9.851707e+00	3.562704e-01	3.562513e-01	1.345571e+01	-6.247702e+00	8.406247e-06	1.519378e-06
0.09          	7.116024e-01	7.206194e+00	1.012859e-05	1.028764e-05	5.121490e-06	9.848740e+00	3.558115e-01	3.557909e-01	1.345184e+01	-6.245643e+00	1.018579e-05	-5.719365e-08
0.091         	7.106738e-01	7.204430e+00	1.005720e-05	1.096226e-05	6.697277e-06	9.845867e+00	3.553479e-01	3.553259e-01	1.344808e+01	-6.243652e+00	1.172588e-05	-1.668676e-06
0.092         	7.097386e-01	7.202691e+00	9.753548e-06	1.158151e-05	8.145989e-06	9.843099e+00	3.548809e-01	3.548577e-01	1.344444e+01	-6.241753e+00	1.302276e-05	-3.269214e-06
0.093         	7.088054e-01	7.200958e+00	9.305445e-06	1.216827e-05	9.525407e-06	9.840448e+00	3.544149e-01	3.543906e-01	1.344093e+01	-6.239969e+00	1.417813e-05	-4.872684e-06
0.094         	7.078706e-01	7.199215e+00	8.807732e-06	1.269992e-05	1.084886e-05	9.837877e+00	3.539480e-01	3.539226e-01	1.343748e+01	-6.238269e+00	1.525272e-05	-6.444993e-06
0.095         	7.069394e-01	7.197521e+00	8.251776e-06	1.312870e-05	1.229751e-05	9.835458e+00	3.534828e-01	3.534566e-01	1.343422e+01	-6.236697e+00	1.642339e-05	-8.171618e-06
0.096         	7.060175e-01	7.195948e+00	7.587570e-06	1.342606e-05	1.375916e-05	9.833293e+00	3.530222e-01	3.529953e-01	1.343127e+01	-6.235319e+00	1.755294e-05	-9.965370e-06
0.097         	7.051121e-01	7.194520e+00	6.838356e-06	1.355263e-05	1.514713e-05	9.831412e+00	3.525696e-01	3.525425e-01	1.342867e+01	-6.234152e+00	1.856631e-05	-1.172795e-05
0.098         	7.042277e-01	7.193233e+00	6.093734e-06	1.350995e-05	1.629136e-05	9.829833e+00	3.521273e-01	3.521003e-01	1.342645e+01	-6.233216e+00	1.933822e-05	-1.324449e-05
0.099         	7.033641e-01	7.192039e+00	5.528679e-06	1.338927e-05	1.716796e-05	9.828475e+00	3.516955e-01	3.516687e-01	1.342449e+01	-6.232456e+00	1.993230e-05	-1.440362e-05
0.1           	7.025180e-01	7.190878e+00	4.694822e-06	1.320179e-05	1.783443e-05	9.827256e+00	3.512722e-01	3.512458e-01	1.342270e+01	-6.231818e+00	2.018184e-05	-1.548702e-05
0.101         	7.016981e-01	7.189720e+00	3.429748e-06	1.291484e-05	1.842346e-05	9.826159e+00	3.508620e-01	3.508362e-01	1.342102e+01	-6.231299e+00	2.013834e-05	-1.670859e-05
0.102         	7.009116e-01	7.188570e+00	1.801670e-06	1.259154e-05	1.911760e-05	9.825197e+00	3.504684e-01	3.504432e-01	1.341948e+01	-6.230912e+00	2.001843e-05	-1.821676e-05
0.103         	7.001510e-01	7.187471e+00	1.440866e-07	1.219628e-05	1.976582e-05	9.824385e+00	3.500877e-01	3.500633e-01	1.341812e+01	-6.230649e+00	1.983787e-05	-1.969378e-05
0.104         	6.994263e-01	7.186491e+00	-1.294088e-06	1.181697e-05	2.033394e-05	9.823809e+00	3.497250e-01	3.497013e-01	1.341706e+01	-6.230564e+00	1.968689e-05	-2.098098e-05
0.105         	6.987527e-01	7.185634e+00	-2.381145e-06	1.145605e-05	2.082308e-05	9.823566e+00	3.493878e-01	3.493649e-01	1.341638e+01	-6.230749e+00	1.963251e-05	-2.201365e-05
0.106         	6.981290e-01	7.184892e+00	-3.174447e-06	1.113285e-05	2.109679e-05	9.823647e+00	3.490756e-01	3.490534e-01	1.341609e+01	-6.231201e+00	1.950957e-05	-2.268402e-05
0.107         	6.975357e-01	7.184240e+00	-3.849868e-06	1.083110e-05	2.123828e-05	9.824015e+00	3.487787e-01	3.487570e-01	1.341614e+01	-6.231895e+00	1.931334e-05	-2.316321e-05
0.108         	6.969775e-01	7.183639e+00	-4.473178e-06	1.051559e-05	2.120638e-05	9.824580e+00	3.484993e-01	3.484782e-01	1.341640e+01	-6.232760e+00	1.896979e-05	-2.344296e-05
0.109         	6.964675e-01	7.183078e+00	-5.000114e-06	1.014159e-05	2.094850e-05	9.825281e+00	3.482439e-01	3.482236e-01	1.341682e+01	-6.233743e+00	1.844845e-05	-2.344856e-05
0.11          	6.959992e-01	7.182558e+00	-5.448541e-06	9.807120e-06	2.064519e-05	9.826104e+00	3.480094e-01	3.479898e-01	1.341738e+01	-6.234825e+00	1.792092e-05	-2.336946e-05
0.111         	6.955730e-01	7.182085e+00	-5.793269e-06	9.540707e-06	2.032787e-05	9.827083e+00	3.477961e-01	3.477770e-01	1.341813e+01	-6.236040e+00	1.743123e-05	-2.322450e-05
0.112         	6.951859e-01	7.181681e+00	-6.030430e-06	9.343117e-06	2.014544e-05	9.828300e+00	3.476023e-01	3.475836e-01	1.341914e+01	-6.237459e+00	1.713022e-05	-2.316065e-05
0.113         	6.948441e-01	7.181366e+00	-6.169244e-06	9.131559e-06	1.990891e-05	9.829780e+00	3.474312e-01	3.474129e-01	1.342046e+01	-6.239097e+00	1.682428e-05	-2.299353e-05
0.114         	6.945495e-01	7.181135e+00	-6.258038e-06	8.855205e-06	1.961513e-05	9.831506e+00	3.472836e-01	3.472659e-01	1.342207e+01	-6.240938e+00	1.648611e-05	-2.274415e-05
0.115         	6.943021e-01	7.180995e+00	-6.214307e-06	8.560462e-06	1.917971e-05	9.833464e+00	3.471596e-01	3.471425e-01	1.342396e+01	-6.242967e+00	1.607256e-05	-2.228686e-05
0.116         	6.940959e-01	7.180910e+00	-6.037711e-06	8.195039e-06	1.863035e-05	9.835553e+00	3.470561e-01	3.470397e-01	1.342601e+01	-6.245098e+00	1.561150e-05	-2.164921e-05
0.117         	6.939100e-01	7.180872e+00	-5.817390e-06	7.768670e-06	1.823376e-05	9.837718e+00	3.469627e-01	3.469472e-01	1.342815e+01	-6.247282e+00	1.532506e-05	-2.114245e-05
0.118         	6.937350e-01	7.180881e+00	-5.567355e-06	7.405922e-06	1.790155e-05	9.839935e+00	3.468749e-01	3.468601e-01	1.343038e+01	-6.249495e+00	1.511788e-05	-2.068523e-05
0.119         	6.935744e-01	7.180957e+00	-5.454352e-06	7.342830e-06	1.790865e-05	9.842283e+00	3.467946e-01	3.467799e-01	1.343276e+01	-6.251804e+00	1.518147e-05	-2.063582e-05
0.12          	6.934326e-01	7.181091e+00	-5.445639e-06	7.375307e-06	1.798173e-05	9.844748e+00	3.467237e-01	3.467089e-01	1.343529e+01	-6.254203e+00	1.525891e-05	-2.070455e-05
