# y+ ()       
# Time        	patch         	min           	max           	average       
0.05          	bottom	1.407398e+02	8.353972e+03	5.666850e+02
0.05          	Geometry	2.031907e+01	3.802574e+03	4.436179e+02
0.1           	bottom	1.326575e+02	8.353972e+03	4.859087e+02
0.1           	Geometry	2.066638e+01	3.595470e+03	4.160279e+02
0.15          	bottom	1.183982e+02	8.353972e+03	4.563539e+02
0.15          	Geometry	1.756050e+01	3.540748e+03	4.066231e+02
0.2           	bottom	8.921464e+01	8.353972e+03	4.445876e+02
0.2           	Geometry	1.650315e+01	3.629005e+03	4.004289e+02
0.25          	bottom	7.354845e+01	8.353972e+03	4.432085e+02
0.25          	Geometry	1.492095e+01	3.710234e+03	3.973701e+02
0.3           	bottom	7.290679e+01	8.353972e+03	4.452570e+02
0.3           	Geometry	1.491263e+01	3.700550e+03	3.960264e+02
0.35          	bottom	7.294148e+01	8.353972e+03	4.476267e+02
0.35          	Geometry	1.819993e+01	3.686128e+03	3.956623e+02
0.4           	bottom	7.304745e+01	8.353972e+03	4.506917e+02
0.4           	Geometry	1.696004e+01	3.756780e+03	3.954149e+02
0.45          	bottom	7.316357e+01	8.353972e+03	4.540059e+02
0.45          	Geometry	1.770306e+01	3.786581e+03	3.954815e+02
0.5           	bottom	7.324102e+01	8.353972e+03	4.551698e+02
0.5           	Geometry	1.590732e+01	3.753817e+03	3.946477e+02
0.55          	bottom	7.326958e+01	8.353972e+03	4.565232e+02
0.55          	Geometry	1.846706e+01	3.749639e+03	3.922165e+02
0.6           	bottom	7.326155e+01	8.353972e+03	4.588418e+02
0.6           	Geometry	1.827181e+01	3.739671e+03	3.902523e+02
0.65          	bottom	7.324472e+01	8.353972e+03	4.611243e+02
0.65          	Geometry	1.668689e+01	3.710284e+03	3.875886e+02
0.7           	bottom	7.325205e+01	8.353972e+03	4.611394e+02
0.7           	Geometry	1.907448e+01	3.731814e+03	3.847778e+02
0.75          	bottom	7.326925e+01	8.353972e+03	4.602429e+02
0.75          	Geometry	1.474396e+01	3.732339e+03	3.820197e+02
0.8           	bottom	7.330319e+01	8.353972e+03	4.607726e+02
0.8           	Geometry	1.665809e+01	3.725261e+03	3.788397e+02
0.85          	bottom	7.330400e+01	8.353972e+03	4.627210e+02
0.85          	Geometry	5.906011e+00	3.701629e+03	3.751727e+02
0.9           	bottom	7.327900e+01	8.353972e+03	4.646910e+02
0.9           	Geometry	5.038126e+00	3.697864e+03	3.723330e+02
0.95          	bottom	7.328738e+01	8.353972e+03	4.672276e+02
0.95          	Geometry	1.520297e+01	3.719092e+03	3.687161e+02
1             	bottom	7.333104e+01	8.353972e+03	4.704302e+02
1             	Geometry	1.824882e+01	3.721379e+03	3.670554e+02
