# y+ ()       
# Time        	patch         	min           	max           	average       
0.1           	bottom	2.030469e+02	6.900448e+03	9.354083e+02
0.1           	Geometry	4.706136e+01	3.861650e+03	7.144949e+02
0.2           	bottom	1.289209e+02	6.900448e+03	8.680805e+02
0.2           	Geometry	3.163862e+01	3.669417e+03	7.144023e+02
0.3           	bottom	1.286824e+02	6.900448e+03	8.681775e+02
0.3           	Geometry	2.303266e+01	3.700419e+03	7.130915e+02
0.4           	bottom	1.288064e+02	6.900448e+03	8.688003e+02
0.4           	Geometry	3.318840e+01	3.703343e+03	6.958614e+02
0.5           	bottom	1.287338e+02	6.900448e+03	8.756942e+02
0.5           	Geometry	4.167695e+01	3.694991e+03	6.795145e+02
0.6           	bottom	1.287519e+02	6.900448e+03	8.842695e+02
0.6           	Geometry	2.243285e+01	3.691809e+03	6.624662e+02
0.7           	bottom	1.289044e+02	6.900448e+03	8.902431e+02
0.7           	Geometry	3.469811e+01	3.692968e+03	6.670320e+02
0.8           	bottom	1.290760e+02	6.900448e+03	9.082391e+02
0.8           	Geometry	2.867803e+01	3.693405e+03	6.764243e+02
0.9           	bottom	1.291049e+02	6.900448e+03	9.209422e+02
0.9           	Geometry	3.213323e+01	3.693697e+03	6.676010e+02
1             	bottom	1.289457e+02	6.900448e+03	9.382408e+02
1             	Geometry	3.237608e+01	3.694572e+03	6.663675e+02
