# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.000000e+01
# lRef        : 2.000000e+00
# Aref        : 4.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.01          	4.818446e+01	-1.682102e-03	-1.607869e+01	3.502518e-04	3.091347e+01	-2.397468e-03	2.409258e+01	2.409188e+01	-3.238519e-03	1.556417e-03	2.287413e+01	-3.895282e+01
0.02          	6.468576e+01	-1.544753e-03	-2.347670e+01	-1.143812e-04	4.348004e+01	-2.558787e-03	3.234277e+01	3.234300e+01	-3.331164e-03	1.786410e-03	3.174169e+01	-5.521839e+01
0.03          	5.600785e+01	-6.002809e-04	-2.347096e+01	-1.902479e-03	4.069508e+01	-4.441938e-03	2.800202e+01	2.800583e+01	-4.742079e-03	4.141798e-03	2.895960e+01	-5.243056e+01
0.04          	3.072884e+01	-1.111520e-03	-1.742657e+01	-3.179019e-03	2.666188e+01	-5.410209e-03	1.536124e+01	1.536760e+01	-5.965969e-03	4.854448e-03	1.794859e+01	-3.537516e+01
0.05          	1.367256e+00	-2.102352e-03	-8.260808e+00	-2.974561e-03	8.061703e+00	-5.440911e-03	6.806536e-01	6.866027e-01	-6.492087e-03	4.389735e-03	3.931299e+00	-1.219211e+01
0.06          	-2.242178e+01	-2.989951e-04	7.811483e-01	-3.103798e-03	-8.760429e+00	5.555953e-04	-1.121399e+01	-1.120779e+01	4.060977e-04	-7.050928e-04	-8.369855e+00	9.151003e+00
0.07          	-3.524454e+01	5.687541e-04	7.176708e+00	-1.742075e-03	-1.942392e+01	4.167032e-03	-1.762401e+01	-1.762053e+01	4.451409e-03	-3.882654e-03	-1.583556e+01	2.301227e+01
0.08          	-3.595226e+01	8.709281e-04	9.666880e+00	-2.933887e-04	-2.220869e+01	6.007508e-03	-1.797642e+01	-1.797584e+01	6.442972e-03	-5.572043e-03	-1.737525e+01	2.704213e+01
0.09          	-2.683594e+01	7.541527e-04	8.362587e+00	-1.760925e-03	-1.794650e+01	5.646456e-03	-1.341973e+01	-1.341621e+01	6.023532e-03	-5.269380e-03	-1.376521e+01	2.212779e+01
0.1           	-1.235526e+01	5.588876e-04	4.398438e+00	-9.119710e-04	-9.205022e+00	4.566397e-03	-6.178543e+00	-6.176719e+00	4.845841e-03	-4.286954e-03	-7.005803e+00	1.140424e+01
