# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	bottom	2.666201e+01	3.248874e+03	1.478220e+02
0.5           	Geometry	1.714092e+01	8.909467e+03	4.120142e+02
1             	bottom	2.479411e+01	3.320815e+03	1.303347e+02
1             	Geometry	1.244520e+01	7.755586e+03	3.827651e+02
1.5           	bottom	2.307537e+01	3.327456e+03	1.227804e+02
1.5           	Geometry	8.899142e+00	6.564085e+03	3.705099e+02
2             	bottom	2.260298e+01	3.256757e+03	1.185336e+02
2             	Geometry	1.236816e+01	5.787489e+04	3.738632e+02
2.5           	bottom	2.221595e+01	3.206191e+03	1.163132e+02
2.5           	Geometry	2.346167e+00	6.488308e+03	3.696589e+02
3             	bottom	2.144974e+01	3.163648e+03	1.156512e+02
3             	Geometry	8.059792e+00	6.544645e+03	3.699150e+02
3.5           	bottom	2.057930e+01	3.128615e+03	1.157009e+02
3.5           	Geometry	2.321739e+00	6.554680e+03	3.701823e+02
4             	bottom	2.107887e+01	3.090831e+03	1.159143e+02
4             	Geometry	5.971719e+00	1.758257e+04	3.718625e+02
4.5           	bottom	2.230887e+01	3.022260e+03	1.163049e+02
4.5           	Geometry	5.055252e+00	6.583577e+03	3.717547e+02
5             	bottom	2.389332e+01	2.928370e+03	1.169533e+02
5             	Geometry	5.111030e+00	6.618080e+03	3.718182e+02
5.5           	bottom	2.419497e+01	2.782815e+03	1.175981e+02
5.5           	Geometry	5.092920e+00	6.656521e+03	3.722722e+02
6             	bottom	2.403831e+01	2.542702e+03	1.181137e+02
6             	Geometry	4.839624e+00	6.690000e+03	3.720637e+02
6.5           	bottom	2.397157e+01	2.452318e+03	1.189354e+02
6.5           	Geometry	5.220054e+00	6.710587e+03	3.703193e+02
7             	bottom	2.331855e+01	2.439940e+03	1.197234e+02
7             	Geometry	2.837292e+00	6.714294e+03	3.686062e+02
7.5           	bottom	2.237706e+01	2.430578e+03	1.204456e+02
7.5           	Geometry	4.614912e+00	6.711974e+03	3.657950e+02
8             	bottom	2.162984e+01	2.430541e+03	1.212339e+02
8             	Geometry	4.344905e+00	6.709129e+03	3.626405e+02
8.5           	bottom	2.095066e+01	2.427874e+03	1.219647e+02
8.5           	Geometry	2.753412e+00	6.707720e+03	3.606188e+02
9             	bottom	2.014329e+01	2.421832e+03	1.226300e+02
9             	Geometry	2.894133e+00	6.707257e+03	3.593647e+02
9.5           	bottom	2.024731e+01	2.414516e+03	1.233486e+02
9.5           	Geometry	2.455655e+00	6.707307e+03	3.580289e+02
10            	bottom	2.118167e+01	2.407061e+03	1.240567e+02
10            	Geometry	1.847237e+00	6.707447e+03	3.564784e+02
10.5          	bottom	2.232014e+01	2.399943e+03	1.247559e+02
10.5          	Geometry	2.429909e+00	6.707401e+03	3.552422e+02
11            	bottom	2.398149e+01	2.392366e+03	1.254705e+02
11            	Geometry	2.897310e+00	6.707139e+03	3.543148e+02
11.5          	bottom	2.407767e+01	2.384682e+03	1.262102e+02
11.5          	Geometry	2.275152e+00	6.706896e+03	3.529283e+02
12            	bottom	2.409103e+01	2.378999e+03	1.269982e+02
12            	Geometry	1.474907e+00	6.706807e+03	3.515122e+02
12.5          	bottom	2.409559e+01	2.377783e+03	1.277396e+02
12.5          	Geometry	2.668867e+00	6.706809e+03	3.502041e+02
13            	bottom	2.408780e+01	2.384723e+03	1.283747e+02
13            	Geometry	2.667107e+00	6.706842e+03	3.492022e+02
13.5          	bottom	2.407899e+01	2.396963e+03	1.288967e+02
13.5          	Geometry	1.377506e+00	6.706832e+03	3.490465e+02
14            	bottom	2.407659e+01	2.405471e+03	1.294721e+02
14            	Geometry	1.101183e+00	6.706724e+03	3.491613e+02
14.5          	bottom	2.407536e+01	2.408719e+03	1.300246e+02
14.5          	Geometry	2.136991e+00	6.706564e+03	3.492507e+02
15            	bottom	2.407398e+01	2.408541e+03	1.304442e+02
15            	Geometry	2.996624e+00	6.706435e+03	3.493339e+02
15.5          	bottom	2.407045e+01	2.407490e+03	1.307570e+02
15.5          	Geometry	2.537614e+00	6.706388e+03	3.497436e+02
16            	bottom	2.406551e+01	2.406527e+03	1.309992e+02
16            	Geometry	1.793295e+00	6.706412e+03	3.506246e+02
16.5          	bottom	2.406150e+01	2.405726e+03	1.312687e+02
16.5          	Geometry	2.270963e+00	6.706448e+03	3.513916e+02
17            	bottom	2.405900e+01	2.404608e+03	1.316896e+02
17            	Geometry	2.373499e+00	6.706447e+03	3.516806e+02
17.5          	bottom	2.405845e+01	2.402882e+03	1.322934e+02
17.5          	Geometry	3.260179e+00	6.706392e+03	3.521784e+02
18            	bottom	2.406019e+01	2.400893e+03	1.329370e+02
18            	Geometry	2.440143e+00	6.706294e+03	3.524406e+02
18.5          	bottom	2.406067e+01	2.399245e+03	1.336424e+02
18.5          	Geometry	1.484553e+00	6.706177e+03	3.527777e+02
19            	bottom	2.405884e+01	2.413522e+03	1.342561e+02
19            	Geometry	8.222730e-01	6.706068e+03	3.533139e+02
19.5          	bottom	2.405793e+01	2.395965e+03	1.346928e+02
19.5          	Geometry	2.910623e+00	6.705960e+03	3.534297e+02
20            	bottom	2.406129e+01	2.392573e+03	1.349658e+02
20            	Geometry	2.881132e+00	7.412149e+03	3.536086e+02
