# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.01          	6.327926e+01	-5.181007e-04	-8.113344e+01	-4.056656e+01	7.201697e+01	-3.164032e+01	-8.926931e+00	7.220619e+01	-3.164058e+01	3.164006e+01	3.145025e+01	-1.125837e+02
0.02          	7.064030e+01	1.730479e-03	-8.109312e+01	-4.054747e+01	7.544742e+01	-3.531977e+01	-5.227321e+00	7.586762e+01	-3.531890e+01	3.532063e+01	3.490085e+01	-1.159940e+02
0.03          	4.864595e+01	9.181307e-03	-8.087802e+01	-4.044298e+01	6.393309e+01	-2.431421e+01	-1.612000e+01	6.476595e+01	-2.430962e+01	2.431880e+01	2.349408e+01	-1.043721e+02
0.04          	1.255181e+01	9.312222e-03	-8.051144e+01	-4.026005e+01	4.547971e+01	-6.267521e+00	-3.398414e+01	4.653595e+01	-6.262865e+00	6.272178e+00	5.223993e+00	-8.573543e+01
0.05          	-2.419468e+01	6.476427e-03	-8.007967e+01	-4.004325e+01	2.701213e+01	1.210066e+01	-5.214059e+01	2.794591e+01	1.210390e+01	-1.209742e+01	-1.302770e+01	-6.705197e+01
0.06          	-4.723000e+01	1.028479e-02	-7.971843e+01	-3.986398e+01	1.567755e+01	2.362893e+01	-6.347898e+01	1.624898e+01	2.363408e+01	-2.362379e+01	-2.418167e+01	-5.553676e+01
0.07          	-5.286916e+01	9.750163e-03	-7.954551e+01	-3.977715e+01	1.323087e+01	2.645611e+01	-6.621173e+01	1.334257e+01	2.646099e+01	-2.645124e+01	-2.654188e+01	-5.300363e+01
0.08          	-4.317382e+01	7.589141e-03	-7.961637e+01	-3.981145e+01	1.850048e+01	2.161165e+01	-6.139836e+01	1.822454e+01	2.161544e+01	-2.160785e+01	-2.130770e+01	-5.830867e+01
0.09          	-2.397477e+01	3.864161e-03	-7.990454e+01	-3.995376e+01	2.847132e+01	1.200834e+01	-5.194114e+01	2.796637e+01	1.201027e+01	-1.200641e+01	-1.148096e+01	-6.842359e+01
0.1           	-2.384142e+00	3.943274e-04	-8.031432e+01	-4.015707e+01	3.951708e+01	1.204237e+00	-4.134914e+01	3.896500e+01	1.204435e+00	-1.204040e+00	-6.400822e-01	-7.967424e+01
0.11          	1.527620e+01	-2.037850e-03	-8.071822e+01	-4.035792e+01	4.843980e+01	-7.633874e+00	-3.271982e+01	4.799602e+01	-7.634893e+00	7.632855e+00	8.080685e+00	-8.879891e+01
0.12          	2.507175e+01	-3.613110e-03	-8.099901e+01	-4.049782e+01	5.327515e+01	-1.254007e+01	-2.796195e+01	5.303370e+01	-1.254187e+01	1.253826e+01	1.277564e+01	-9.377466e+01
0.13          	2.604199e+01	-4.375285e-03	-8.108715e+01	-4.054182e+01	5.360619e+01	-1.303171e+01	-2.752083e+01	5.356282e+01	-1.303390e+01	1.302953e+01	1.306262e+01	-9.414977e+01
0.14          	1.993706e+01	-3.047833e-03	-8.097713e+01	-4.048756e+01	5.036134e+01	-9.981588e+00	-3.051903e+01	5.045609e+01	-9.983112e+00	9.980064e+00	9.872781e+00	-9.084991e+01
0.15          	1.004248e+01	-1.064957e-04	-8.072198e+01	-4.036139e+01	4.523915e+01	-5.032375e+00	-3.534015e+01	4.538263e+01	-5.032429e+00	5.032322e+00	4.878159e+00	-8.560014e+01
0.16          	-8.703528e-02	7.061451e-04	-8.040962e+01	-4.020550e+01	4.005785e+01	3.496712e-02	-4.024902e+01	4.016198e+01	3.532020e-02	-3.461405e-02	-1.469616e-01	-8.026266e+01
