# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	bottom	3.552230e+02	1.001397e+04	3.508247e+03
0.5           	Geometry	6.726610e+01	8.704930e+03	3.901059e+02
1             	bottom	5.024545e+02	1.211395e+04	3.807086e+03
1             	Geometry	4.716802e+01	1.026340e+04	3.955898e+02
1.5           	bottom	4.928684e+02	1.362068e+04	4.237973e+03
1.5           	Geometry	3.629479e+01	1.128288e+04	4.455677e+02
2             	bottom	4.945079e+02	1.417735e+04	4.731374e+03
2             	Geometry	3.492007e+01	1.155732e+04	4.708904e+02
2.5           	bottom	4.998481e+02	2.104460e+04	5.227000e+03
2.5           	Geometry	3.739587e+01	1.150270e+04	4.726375e+02
3             	bottom	5.038374e+02	2.559744e+04	5.628077e+03
3             	Geometry	4.452328e+01	1.131341e+04	4.662950e+02
3.5           	bottom	5.069078e+02	2.861020e+04	5.942362e+03
3.5           	Geometry	4.983380e+01	1.105705e+04	4.587961e+02
4             	bottom	5.096253e+02	3.032155e+04	6.157764e+03
4             	Geometry	4.680754e+01	1.074495e+04	4.476274e+02
4.5           	bottom	5.119226e+02	3.068064e+04	6.394006e+03
4.5           	Geometry	4.513677e+01	1.043417e+04	4.347924e+02
5             	bottom	5.129576e+02	3.205133e+04	6.648614e+03
5             	Geometry	4.676653e+01	1.014987e+04	4.222956e+02
5.5           	bottom	5.130581e+02	3.385933e+04	6.755627e+03
5.5           	Geometry	4.823920e+01	9.978325e+03	4.113248e+02
6             	bottom	5.131284e+02	3.576779e+04	6.778103e+03
6             	Geometry	4.712947e+01	9.911046e+03	4.037290e+02
6.5           	bottom	5.133381e+02	3.733233e+04	6.781584e+03
6.5           	Geometry	4.595982e+01	9.868486e+03	3.993182e+02
7             	bottom	5.135896e+02	3.819096e+04	6.773923e+03
7             	Geometry	4.458829e+01	9.821668e+03	3.966732e+02
7.5           	bottom	5.138410e+02	3.858827e+04	6.765937e+03
7.5           	Geometry	4.317350e+01	9.775037e+03	3.950210e+02
8             	bottom	5.140882e+02	3.909105e+04	6.770893e+03
8             	Geometry	4.172772e+01	9.730012e+03	3.939453e+02
8.5           	bottom	5.142658e+02	3.977002e+04	6.787144e+03
8.5           	Geometry	4.039694e+01	9.686955e+03	3.932233e+02
9             	bottom	5.143644e+02	4.036863e+04	6.803269e+03
9             	Geometry	3.924862e+01	9.646585e+03	3.926251e+02
9.5           	bottom	5.144366e+02	4.097951e+04	6.817393e+03
9.5           	Geometry	3.840865e+01	9.609466e+03	3.921786e+02
10            	bottom	5.144733e+02	4.163509e+04	6.830029e+03
10            	Geometry	3.794850e+01	9.575558e+03	3.918699e+02
