# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.01          	1.360847e+02	1.956498e-04	-8.087127e+01	-4.043570e+01	1.064666e+02	-6.804229e+01	2.760666e+01	1.084781e+02	-6.804219e+01	6.804239e+01	6.603099e+01	-1.469023e+02
0.02          	1.640834e+02	-8.490275e-04	-8.082300e+01	-4.041103e+01	1.197281e+02	-8.204231e+01	4.163065e+01	1.224527e+02	-8.204274e+01	8.204189e+01	7.931660e+01	-1.601396e+02
0.03          	1.126447e+02	8.717706e-03	-8.056233e+01	-4.028648e+01	9.321415e+01	-5.631754e+01	1.603585e+01	9.660881e+01	-5.631318e+01	5.632190e+01	5.293299e+01	-1.334953e+02
0.04          	3.143735e+01	2.909005e-02	-8.014273e+01	-4.008813e+01	5.274121e+01	-1.568601e+01	-2.436946e+01	5.580681e+01	-1.567146e+01	1.570055e+01	1.266984e+01	-9.281257e+01
0.05          	-4.813487e+01	3.542151e-02	-7.966538e+01	-3.985305e+01	1.393917e+01	2.410904e+01	-6.392049e+01	1.578562e+01	2.412675e+01	-2.409133e+01	-2.589352e+01	-5.377186e+01
0.06          	-1.011711e+02	3.297655e-02	-7.927086e+01	-3.965408e+01	-1.120924e+01	5.061574e+01	-9.023965e+01	-1.093149e+01	5.063223e+01	-5.059925e+01	-5.084467e+01	-2.842619e+01
0.07          	-1.176827e+02	2.760997e-02	-7.909137e+01	-3.956054e+01	-1.822299e+01	5.885566e+01	-9.840190e+01	-1.928081e+01	5.886946e+01	-5.884185e+01	-5.776867e+01	-2.132269e+01
0.08          	-9.994716e+01	1.767035e-02	-7.918704e+01	-3.960265e+01	-8.553210e+00	4.997254e+01	-8.957623e+01	-1.037093e+01	4.998138e+01	-4.996371e+01	-4.814673e+01	-3.104031e+01
0.09          	-5.941881e+01	7.816073e-03	-7.951717e+01	-3.976201e+01	1.197300e+01	2.970110e+01	-6.947142e+01	1.005261e+01	2.970501e+01	-2.969719e+01	-2.778558e+01	-5.173159e+01
0.1           	-1.161863e+01	1.921097e-03	-7.997145e+01	-3.998593e+01	3.564026e+01	5.802808e+00	-4.579524e+01	3.417662e+01	5.803768e+00	-5.801847e+00	-4.345463e+00	-7.562599e+01
0.11          	2.902445e+01	-2.302998e-03	-8.040722e+01	-4.020181e+01	5.539807e+01	-1.451421e+01	-2.568959e+01	5.471403e+01	-1.451536e+01	1.451306e+01	1.519445e+01	-9.560168e+01
0.12          	5.304821e+01	-4.692832e-03	-8.069832e+01	-4.034647e+01	6.675209e+01	-2.652330e+01	-1.382237e+01	6.687058e+01	-2.652564e+01	2.652095e+01	2.640293e+01	-1.071013e+02
0.13          	5.762178e+01	-5.727343e-03	-8.077281e+01	-4.038404e+01	6.849958e+01	-2.880903e+01	-1.157315e+01	6.919493e+01	-2.881189e+01	2.880617e+01	2.811318e+01	-1.088860e+02
0.14          	4.576973e+01	-7.005956e-03	-8.062979e+01	-4.031249e+01	6.228909e+01	-2.288457e+01	-1.742762e+01	6.319735e+01	-2.288808e+01	2.288107e+01	2.197419e+01	-1.026040e+02
0.15          	2.426600e+01	-5.969946e-03	-8.033273e+01	-4.016471e+01	5.153263e+01	-1.213346e+01	-2.803172e+01	5.229771e+01	-1.213644e+01	1.213047e+01	1.136626e+01	-9.169899e+01
0.16          	1.035583e+00	-5.418989e-03	-7.998450e+01	-3.999080e+01	4.012287e+01	-5.219481e-01	-3.947300e+01	4.050859e+01	-5.246576e-01	5.192386e-01	1.306171e-01	-8.011511e+01
0.17          	-1.720955e+01	-2.959839e-03	-7.969219e+01	-3.984547e+01	3.130910e+01	8.598987e+00	-4.845024e+01	3.124069e+01	8.597507e+00	-8.600467e+00	-8.536992e+00	-7.115519e+01
0.18          	-2.655022e+01	6.480428e-04	-7.953479e+01	-3.976798e+01	2.693655e+01	1.327050e+01	-5.304310e+01	2.649287e+01	1.327082e+01	-1.327018e+01	-1.283085e+01	-6.670395e+01
0.19          	-2.634020e+01	3.437164e-03	-7.954222e+01	-3.977244e+01	2.724743e+01	1.316791e+01	-5.294255e+01	2.660234e+01	1.316963e+01	-1.316619e+01	-1.252368e+01	-6.701854e+01
0.2           	-1.867717e+01	5.016699e-03	-7.969106e+01	-3.984718e+01	3.115402e+01	9.339133e+00	-4.918576e+01	3.050859e+01	9.341641e+00	-9.336624e+00	-8.691509e+00	-7.099956e+01
0.21          	-7.264270e+00	4.651448e-03	-7.991981e+01	-3.996128e+01	3.681201e+01	3.634545e+00	-4.359341e+01	3.632914e+01	3.636871e+00	-3.632220e+00	-3.147893e+00	-7.677192e+01
0.22          	3.943497e+00	3.598845e-03	-8.015217e+01	-4.007710e+01	4.228626e+01	-1.967485e+00	-3.810535e+01	4.204885e+01	-1.965685e+00	1.969284e+00	2.210175e+00	-8.236234e+01
0.23          	1.187661e+01	1.963233e-03	-8.032071e+01	-4.016093e+01	4.609798e+01	-5.932985e+00	-3.422263e+01	4.609923e+01	-5.932003e+00	5.933966e+00	5.937621e+00	-8.625833e+01
0.24          	1.503430e+01	3.047462e-04	-8.038612e+01	-4.019323e+01	4.754674e+01	-7.511927e+00	-3.267608e+01	4.771039e+01	-7.511775e+00	7.512080e+00	7.353681e+00	-8.773980e+01
0.25          	1.355885e+01	-1.214004e-03	-8.034424e+01	-4.017189e+01	4.673400e+01	-6.775769e+00	-3.339246e+01	4.695132e+01	-6.776376e+00	6.775162e+00	6.561879e+00	-8.690612e+01
0.26          	8.847585e+00	-1.849881e-03	-8.022243e+01	-4.011088e+01	4.436627e+01	-4.422080e+00	-3.568708e+01	4.453467e+01	-4.423005e+00	4.421155e+00	4.255057e+00	-8.447749e+01
0.27          	2.892177e+00	-2.098669e-03	-8.006725e+01	-4.003319e+01	4.143011e+01	-1.446529e+00	-3.858710e+01	4.147927e+01	-1.447579e+00	1.445480e+00	1.396485e+00	-8.146373e+01
0.28          	-2.390004e+00	-1.841735e-03	-7.992733e+01	-3.996329e+01	3.886152e+01	1.193252e+00	-4.115829e+01	3.876829e+01	1.192331e+00	-1.194173e+00	-1.102142e+00	-7.882519e+01
0.29          	-5.661778e+00	-1.304152e-03	-7.984045e+01	-3.991996e+01	3.730180e+01	2.828749e+00	-4.275085e+01	3.708907e+01	2.828097e+00	-2.829401e+00	-2.618432e+00	-7.722202e+01
0.3           	-6.429007e+00	-7.071383e-04	-7.982327e+01	-3.991146e+01	3.697545e+01	3.212445e+00	-4.312596e+01	3.669696e+01	3.212091e+00	-3.212798e+00	-2.936190e+00	-7.688708e+01
0.31          	-4.998644e+00	-2.923872e-05	-7.986972e+01	-3.993481e+01	3.771727e+01	2.497782e+00	-4.243413e+01	3.743549e+01	2.497768e+00	-2.497797e+00	-2.217593e+00	-7.765213e+01
0.32          	-2.228445e+00	6.467885e-04	-7.995688e+01	-3.997862e+01	3.909846e+01	1.113667e+00	-4.109284e+01	3.886439e+01	1.113991e+00	-1.113344e+00	-8.799853e-01	-7.907690e+01
0.33          	8.317938e-01	8.875580e-04	-8.005357e+01	-4.002705e+01	4.060204e+01	-4.155322e-01	-3.961116e+01	4.044295e+01	-4.150884e-01	4.159760e-01	5.752584e-01	-8.062883e+01
0.34          	3.270211e+00	5.149837e-04	-8.013079e+01	-4.006541e+01	4.178390e+01	-1.634287e+00	-3.843030e+01	4.170051e+01	-1.634029e+00	1.634544e+00	1.718505e+00	-8.184929e+01
0.35          	4.537537e+00	3.539079e-04	-8.016965e+01	-4.008493e+01	4.238169e+01	-2.267434e+00	-3.781616e+01	4.235370e+01	-2.267257e+00	2.267611e+00	2.296869e+00	-8.246652e+01
0.36          	4.520417e+00	2.092351e-04	-8.016533e+01	-4.008291e+01	4.234908e+01	-2.258420e+00	-3.782270e+01	4.234312e+01	-2.258316e+00	2.258525e+00	2.266419e+00	-8.243175e+01
0.37          	3.491103e+00	1.498136e-04	-8.012602e+01	-4.006342e+01	4.182679e+01	-1.743475e+00	-3.831787e+01	4.180898e+01	-1.743400e+00	1.743550e+00	1.763785e+00	-8.188980e+01
0.38          	1.950128e+00	9.176884e-05	-8.006852e+01	-4.003477e+01	4.106376e+01	-9.730972e-01	-3.905971e+01	4.100984e+01	-9.730513e-01	9.731431e-01	1.029507e+00	-8.109802e+01
0.39          	4.387844e-01	4.074994e-05	-8.001199e+01	-4.000649e+01	4.032494e+01	-2.178919e-01	-3.978709e+01	4.022588e+01	-2.178716e-01	2.179123e-01	3.189486e-01	-8.033094e+01
0.4           	-6.243553e-01	6.956244e-05	-7.997214e+01	-3.998648e+01	3.981296e+01	3.131224e-01	-4.029866e+01	3.967430e+01	3.131572e-01	-3.130876e-01	-1.731054e-01	-7.979903e+01
