# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	bottom	1.959209e+02	1.068536e+04	1.523566e+03
0.5           	Geometry	2.358396e+01	3.916304e+03	1.201690e+02
1             	bottom	1.870011e+02	4.172624e+03	1.435595e+03
1             	Geometry	2.623093e+01	5.857989e+03	9.872659e+01
1.5           	bottom	1.687277e+02	4.171616e+03	1.436851e+03
1.5           	Geometry	2.423130e+01	6.401727e+03	9.460924e+01
2             	bottom	2.155653e+02	4.171029e+03	1.460718e+03
2             	Geometry	2.310325e+01	6.788207e+03	9.687485e+01
2.5           	bottom	3.036111e+02	4.170934e+03	1.499298e+03
2.5           	Geometry	1.906891e+01	7.073081e+03	9.994959e+01
3             	bottom	3.177301e+02	4.625708e+03	1.554290e+03
3             	Geometry	1.715334e+01	7.294177e+03	1.028833e+02
3.5           	bottom	2.932969e+02	4.926434e+03	1.619625e+03
3.5           	Geometry	1.632040e+01	7.436187e+03	1.052477e+02
4             	bottom	2.779804e+02	4.949030e+03	1.690281e+03
4             	Geometry	1.584477e+01	7.512102e+03	1.070842e+02
4.5           	bottom	2.663501e+02	4.943241e+03	1.762383e+03
4.5           	Geometry	1.529849e+01	7.545663e+03	1.082486e+02
5             	bottom	2.587339e+02	5.424377e+03	1.834336e+03
5             	Geometry	1.556098e+01	7.551469e+03	1.088871e+02
5.5           	bottom	2.548426e+02	5.832906e+03	1.905062e+03
5.5           	Geometry	1.639778e+01	7.538104e+03	1.091541e+02
6             	bottom	2.519882e+02	6.628268e+03	1.972152e+03
6             	Geometry	1.815679e+01	7.512254e+03	1.091226e+02
6.5           	bottom	2.504284e+02	7.417684e+03	2.034144e+03
6.5           	Geometry	1.843972e+01	7.475502e+03	1.088351e+02
7             	bottom	2.494906e+02	8.247112e+03	2.091339e+03
7             	Geometry	1.820580e+01	7.430931e+03	1.083602e+02
7.5           	bottom	2.491325e+02	8.965644e+03	2.151422e+03
7.5           	Geometry	1.887467e+01	7.381509e+03	1.077330e+02
8             	bottom	2.492388e+02	9.584338e+03	2.215546e+03
8             	Geometry	1.953584e+01	7.329647e+03	1.069773e+02
8.5           	bottom	2.500024e+02	1.010375e+04	2.279088e+03
8.5           	Geometry	1.978229e+01	7.277478e+03	1.061285e+02
9             	bottom	2.508326e+02	1.052778e+04	2.339193e+03
9             	Geometry	1.976614e+01	7.224921e+03	1.052171e+02
9.5           	bottom	2.514367e+02	1.087258e+04	2.395054e+03
9.5           	Geometry	1.987379e+01	7.172352e+03	1.042781e+02
10            	bottom	2.519599e+02	1.113214e+04	2.445363e+03
10            	Geometry	2.004868e+01	7.118670e+03	1.033389e+02
