# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 5.000000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.01          	7.414162e+01	2.342676e-02	-8.118092e+01	-4.060060e+01	7.471983e+01	-3.545790e+01	-3.529794e+00	7.767142e+01	-3.544618e+01	3.546961e+01	3.412937e+01	-1.153103e+02
0.02          	8.641830e+01	4.447878e-02	-8.114322e+01	-4.058985e+01	8.059384e+01	-4.169498e+01	2.619301e+00	8.379900e+01	-4.167274e+01	4.171722e+01	4.002223e+01	-1.211654e+02
0.03          	6.145501e+01	1.513131e-01	-8.091763e+01	-4.052015e+01	6.884461e+01	-2.989417e+01	-9.792643e+00	7.124765e+01	-2.981852e+01	2.996983e+01	2.838579e+01	-1.093034e+02
0.04          	1.868878e+01	2.344362e-01	-8.052146e+01	-4.035740e+01	4.851568e+01	-9.373256e+00	-3.101301e+01	4.970179e+01	-9.256038e+00	9.490474e+00	8.254950e+00	-8.877641e+01
0.05          	-2.521916e+01	2.535655e-01	-8.005429e+01	-4.013444e+01	2.790750e+01	1.169012e+01	-5.274402e+01	2.752486e+01	1.181690e+01	-1.156333e+01	-1.211964e+01	-6.793464e+01
0.06          	-5.432564e+01	2.050951e-01	-7.966122e+01	-3.992073e+01	1.434861e+01	2.574654e+01	-6.708355e+01	1.275791e+01	2.584909e+01	-2.564399e+01	-2.548200e+01	-5.417922e+01
0.07          	-6.335760e+01	1.266207e-01	-7.946825e+01	-3.979429e+01	1.027045e+01	3.025206e+01	-7.147309e+01	8.115495e+00	3.031537e+01	-3.018875e+01	-2.946367e+01	-5.000457e+01
0.08          	-5.388569e+01	4.881146e-02	-7.953527e+01	-3.979778e+01	1.486588e+01	2.589476e+01	-6.674063e+01	1.285494e+01	2.591917e+01	-2.587036e+01	-2.490175e+01	-5.463352e+01
0.09          	-3.218284e+01	-1.354340e-02	-7.983449e+01	-3.992279e+01	2.518324e+01	1.562867e+01	-5.601421e+01	2.383137e+01	1.562190e+01	-1.563544e+01	-1.473401e+01	-6.510049e+01
0.1           	-6.490253e+00	-4.444507e-02	-8.026573e+01	-4.012601e+01	3.735016e+01	3.374099e+00	-4.337114e+01	3.688088e+01	3.351876e+00	-3.396321e+00	-2.782701e+00	-7.748303e+01
