# y+ ()       
# Time        	patch         	min           	max           	average       
0.5           	bottom	2.860417e+02	7.154500e+03	2.515648e+03
0.5           	Geometry	5.219961e+01	5.714804e+03	3.502110e+02
1             	bottom	3.118339e+02	7.149817e+03	2.538658e+03
1             	Geometry	3.987689e+01	7.123336e+03	3.178153e+02
1.5           	bottom	3.527355e+02	8.722215e+03	2.686719e+03
1.5           	Geometry	2.775640e+01	7.620601e+03	3.355299e+02
2             	bottom	3.615368e+02	9.215735e+03	2.896773e+03
2             	Geometry	2.292455e+01	7.801675e+03	3.646320e+02
2.5           	bottom	3.572579e+02	9.905027e+03	3.157616e+03
2.5           	Geometry	2.294791e+01	7.828629e+03	3.855009e+02
3             	bottom	3.574591e+02	1.110120e+04	3.427089e+03
3             	Geometry	2.345471e+01	7.791554e+03	3.938190e+02
3.5           	bottom	3.671363e+02	1.388204e+04	3.692186e+03
3.5           	Geometry	2.698159e+01	7.734122e+03	3.943063e+02
4             	bottom	3.693807e+02	1.692739e+04	3.939457e+03
4             	Geometry	3.091379e+01	7.672119e+03	3.911582e+02
4.5           	bottom	3.708519e+02	1.891613e+04	4.145722e+03
4.5           	Geometry	3.351520e+01	7.609874e+03	3.865745e+02
5             	bottom	3.719396e+02	2.075764e+04	4.301084e+03
5             	Geometry	3.478370e+01	7.547779e+03	3.823323e+02
5.5           	bottom	3.727798e+02	2.226519e+04	4.407846e+03
5.5           	Geometry	3.520997e+01	7.485320e+03	3.783871e+02
6             	bottom	3.733216e+02	2.347627e+04	4.491791e+03
6             	Geometry	3.510887e+01	7.422766e+03	3.739979e+02
6.5           	bottom	3.735948e+02	2.377734e+04	4.572081e+03
6.5           	Geometry	3.489264e+01	7.360675e+03	3.691995e+02
7             	bottom	3.736763e+02	2.406856e+04	4.658209e+03
7             	Geometry	3.461516e+01	7.299914e+03	3.642386e+02
7.5           	bottom	3.737138e+02	2.511483e+04	4.742043e+03
7.5           	Geometry	3.438158e+01	7.241059e+03	3.595147e+02
8             	bottom	3.737629e+02	2.590080e+04	4.814118e+03
8             	Geometry	3.405940e+01	7.185260e+03	3.552378e+02
8.5           	bottom	3.737810e+02	2.650355e+04	4.861293e+03
8.5           	Geometry	3.351162e+01	7.133708e+03	3.515777e+02
9             	bottom	3.737777e+02	2.685169e+04	4.890785e+03
9             	Geometry	3.266385e+01	7.087325e+03	3.486753e+02
9.5           	bottom	3.737795e+02	2.727253e+04	4.908444e+03
9.5           	Geometry	3.187793e+01	7.046625e+03	3.465780e+02
10            	bottom	3.737905e+02	2.773020e+04	4.918595e+03
10            	Geometry	3.199197e+01	7.011821e+03	3.451581e+02
